State,District,Block,Tap water connection Coverage,Reporting by Implementing Departments (Reporting rate),Certification by Gram Sabhas (Certification Rate),Reporting to Coverage Ratio,Certification to Coverage Ratio,Certification to Reporting Ratio,Year,Updated_Name
Karnataka,Dakshina Kannada,Puttur,54.03004232,0,0,0,0,0,2021,Dakshina Kannada
Karnataka,Dakshina Kannada,Sullia,33.26597383,0,0,0,0,0,2021,Dakshina Kannada
Karnataka,Davangere,Channagiri,46.27190084,0.09692911,0,0.209477259,0,0,2021,Davanagere
Karnataka,Davangere,Davanagere,31.25773196,0.206185567,0,0.659630607,0,0,2021,Davanagere
Karnataka,Davangere,Harihara,52.87569573,0,0,0,0,0,2021,Davanagere
Karnataka,Davangere,Honnali,50.45196635,0,0,0,0,0,2021,Davanagere
Karnataka,Davangere,Jagalur,13.97489319,0,0,0,0,0,2021,Davanagere
Karnataka,Dharwad,Dharwad,52.53544166,0,0,0,0,0,2021,Dharwad
Karnataka,Dharwad,Hubli,34.25830764,0,0,0,0,0,2021,Dharwad
Karnataka,Dharwad,Kalghatgi,48.54228387,0,0,0,0,0,2021,Dharwad
Karnataka,Dharwad,Kundgol,52.75679151,0,0,0,0,0,2021,Dharwad
Karnataka,Dharwad,Navalgund,42.11828058,0,0,0,0,0,2021,Dharwad
Karnataka,Gadag,Gadag,46.8489662,3.91289334,0,8.35214447,0,0,2021,Gadag
Karnataka,Gadag,Mundaragi,36.65775227,0,0,0,0,0,2021,Gadag
Karnataka,Gadag,Naragund,47.7159172,0,0,0,0,0,2021,Gadag
Karnataka,Gadag,Ron,26.1155669,0,0,0,0,0,2021,Gadag
Karnataka,Gadag,Shirahatti,20.38215014,0,0,0,0,0,2021,Gadag
Karnataka,Hassan,Alur,18.14308723,0,0,0,0,0,2021,Hassan
Karnataka,Hassan,Arkalgud,23.42879312,0.333286309,0,1.422550053,0,0,2021,Hassan
Karnataka,Hassan,Arsikere,19.78782534,0.773609107,0,3.909520594,0,0,2021,Hassan
Karnataka,Hassan,Belur,12.93261794,0,0,0,0,0,2021,Hassan
Karnataka,Hassan,Channarayapatna,17.72973471,0,0,0,0,0,2021,Hassan
Karnataka,Hassan,Hassan,16.85364253,0,0,0,0,0,2021,Hassan
Karnataka,Hassan,Holenarsipur,41.00043476,1.999903386,0,4.877761414,0,0,2021,Hassan
Karnataka,Hassan,Sakaleshpur,18.18015914,0.313891525,0,1.726560932,0,0,2021,Hassan
Karnataka,Haveri,Byadgi,33.68721927,0.314414047,0,0.933333333,0,0,2021,Haveri
Karnataka,Haveri,Hanagal,38.00796241,0.181126932,0,0.476549967,0,0,2021,Haveri
Karnataka,Haveri,Haveri,28.22416369,0.8578154,0,3.039294306,0,0,2021,Haveri
Karnataka,Haveri,Hirekerur,22.56605876,0,0,0,0,0,2021,Haveri
Karnataka,Haveri,Ranebennur,28.06699117,0.088689052,0,0.315990594,0,0,2021,Haveri
Karnataka,Haveri,Savanur,22.83068874,0,0,0,0,0,2021,Haveri
Karnataka,Haveri,Shiggaon,31.073148,0,0,0,0,0,2021,Haveri
Karnataka,Kalaburagi,Afzalpur,21.65219103,0,0,0,0,0,2021,Kalburgi
Karnataka,Kalaburagi,Aland,23.29078014,0,0,0,0,0,2021,Kalburgi
Karnataka,Kalaburagi,Chincholi,13.39140589,0,0,0,0,0,2021,Kalburgi
Karnataka,Kalaburagi,Chittapur,30.07487392,0,0,0,0,0,2021,Kalburgi
Karnataka,Kalaburagi,Jewargi,12.64963634,0,0,0,0,0,2021,Kalburgi
Karnataka,Kalaburagi,Kalaburgi,11.60618962,0,0,0,0,0,2021,Kalburgi
Karnataka,Kalaburagi,Sedam,31.68828484,0,0,0,0,0,2021,Kalburgi
Karnataka,Kodagu,Madikeri,56.28900538,0,0,0,0,0,2021,Kodagu
Karnataka,Kodagu,Somvarpet,54.78813384,0,0,0,0,0,2021,Kodagu
Karnataka,Kodagu,Virajpet,13.49645251,0,0,0,0,0,2021,Kodagu
Karnataka,Kolar,Bangarapet,21.32351577,0,0,0,0,0,2021,Kolara
Karnataka,Kolar,Kolar,40.3198438,0,0,0,0,0,2021,Kolara
Karnataka,Kolar,Malur,17.65476432,0,0,0,0,0,2021,Kolara
Karnataka,Kolar,Mulbagal,21.73288888,0,0,0,0,0,2021,Kolara
Karnataka,Kolar,Srinivasapura,41.02758248,0.648999459,0,1.581861323,0,0,2021,Kolara
Karnataka,Koppal,Gangavathi,50.36405659,0,0,0,0,0,2021,Koppal
Karnataka,Koppal,Koppal,36.08570021,0,0,0,0,0,2021,Koppal
Karnataka,Koppal,Kushtagi,40.77846352,0,0,0,0,0,2021,Koppal
Karnataka,Koppal,Yelburga,54.54252346,0,0,0,0,0,2021,Koppal
Karnataka,Mandya,Krishnarajpet,54.98424842,2.734023402,0,4.972375691,0,0,2021,Mandya
Karnataka,Mandya,Maddur,68.361039,0.203668909,0,0.297931266,0,0,2021,Mandya
Karnataka,Mandya,Malvalli,40.0299681,0,0,0,0,0,2021,Mandya
Karnataka,Mandya,Mandya,65.40130919,0,0,0,0,0,2021,Mandya
Karnataka,Mandya,Nagamangala,24.41874444,0,0,0,0,0,2021,Mandya
Karnataka,Mandya,Pandavapura,64.8999512,0.141532455,0,0.218077906,0,0,2021,Mandya
Karnataka,Mandya,Shrirangapattana,81.46288101,0,0,0,0,0,2021,Mandya
Karnataka,Mysuru,Heggadadevankote,48.21552504,0.04626806,0,0.095960918,0,0,2021,Mysuru
Karnataka,Mysuru,Hunsur,31.10477357,0.042108487,0,0.135376285,0,0,2021,Mysuru
Karnataka,Mysuru,Krishnarajanagara,52.98994691,0.740991754,0,1.398362892,0,0,2021,Mysuru
Karnataka,Mysuru,Mysore,25.50204044,0,0,0,0,0,2021,Mysuru
Karnataka,Mysuru,Nanjangud,37.46960806,0,0,0,0,0,2021,Mysuru
Karnataka,Mysuru,Piriyapatna,30.15151214,0,0,0,0,0,2021,Mysuru
Karnataka,Mysuru,Tirumakudal-narsipur,29.41376252,0,0,0,0,0,2021,Mysuru
Karnataka,Raichur,Deodurga,41.45777778,0.128395062,0,0.309700781,0,0,2021,Raichur
Karnataka,Raichur,Lingsugur,25.62109455,0,0,0,0,0,2021,Raichur
Karnataka,Raichur,Manvi,32.49885996,1.045332834,0,3.216521551,0,0,2021,Raichur
Karnataka,Raichur,Raichur,28.3758001,0,0,0,0,0,2021,Raichur
Karnataka,Raichur,Sindhnur,33.17779495,0.495778591,0,1.494308443,0,0,2021,Raichur
Karnataka,Ramanagaram,Channapatna,47.98771583,0,0,0,0,0,2021,Ramanagara
Karnataka,Ramanagaram,Kanakapura,41.80697686,0.850683067,0,2.034787327,0,0,2021,Ramanagara
Karnataka,Ramanagaram,Magadi,23.42078395,0.108758379,0,0.464366945,0,0,2021,Ramanagara
Karnataka,Ramanagaram,Ramanagaram,42.41311406,1.359838203,0,3.206173924,0,0,2021,Ramanagara
Karnataka,Shivamogga,Bhadravati,57.67585412,0.074228898,0,0.128700129,0,0,2021,Shivamogga
Karnataka,Shivamogga,Hosanagara,8.855012428,0.215410108,0,2.432634731,0,0,2021,Shivamogga
Karnataka,Shivamogga,Sagar,46.10498951,0.425393637,0,0.922662908,0,0,2021,Shivamogga
Karnataka,Shivamogga,Shikarpur,44.90479881,5.265913994,0,11.72684019,0,0,2021,Shivamogga
Karnataka,Shivamogga,Shivamogga,28.18138028,0.144508671,0,0.51278067,0,0,2021,Shivamogga
Karnataka,Shivamogga,Soraba,22.98311445,0.430296109,0,1.872227152,0,0,2021,Shivamogga
Karnataka,Shivamogga,Tirthahalli,26.67386302,0,0,0,0,0,2021,Shivamogga
Karnataka,Tumkur,Chiknayakanhalli,17.62049945,0,0,0,0,0,2021,Tumakuru
Karnataka,Tumkur,Gubbi,15.26901362,0,0,0,0,0,2021,Tumakuru
Karnataka,Tumkur,Koratagere,50.35654305,0,0,0,0,0,2021,Tumakuru
